,region,indicator,Unit,Date,Value
0,Total country,All Items,Index Dec 2016 = 100,2009M1,65.3
1,Total country,All Items,Index Dec 2016 = 100,2009M2,65.9
2,Total country,All Items,Index Dec 2016 = 100,2009M3,66.9
3,Total country,All Items,Index Dec 2016 = 100,2009M4,67.2
4,Total country,All Items,Index Dec 2016 = 100,2009M5,67.4
5,Total country,All Items,Index Dec 2016 = 100,2009M6,67.6
6,Total country,All Items,Index Dec 2016 = 100,2009M7,68.3
7,Total country,All Items,Index Dec 2016 = 100,2009M8,68.5
8,Total country,All Items,Index Dec 2016 = 100,2009M9,68.7
9,Total country,All Items,Index Dec 2016 = 100,2009M10,68.7
10,Total country,All Items,Index Dec 2016 = 100,2009M11,68.7
11,Total country,All Items,Index Dec 2016 = 100,2009M12,68.9
12,Total country,All Items,Index Dec 2016 = 100,2010M1,69.1
13,Total country,All Items,Index Dec 2016 = 100,2010M2,69.5
14,Total country,All Items,Index Dec 2016 = 100,2010M3,70.1
15,Total country,All Items,Index Dec 2016 = 100,2010M4,70.1
16,Total country,All Items,Index Dec 2016 = 100,2010M5,70.3
17,Total country,All Items,Index Dec 2016 = 100,2010M6,70.3
18,Total country,All Items,Index Dec 2016 = 100,2010M7,70.7
19,Total country,All Items,Index Dec 2016 = 100,2010M8,70.8
20,Total country,All Items,Index Dec 2016 = 100,2010M9,70.9
21,Total country,All Items,Index Dec 2016 = 100,2010M10,71.0
22,Total country,All Items,Index Dec 2016 = 100,2010M11,71.1
23,Total country,All Items,Index Dec 2016 = 100,2010M12,71.2
24,Total country,All Items,Index Dec 2016 = 100,2011M1,71.6
25,Total country,All Items,Index Dec 2016 = 100,2011M2,72.0
26,Total country,All Items,Index Dec 2016 = 100,2011M3,72.9
27,Total country,All Items,Index Dec 2016 = 100,2011M4,73.1
28,Total country,All Items,Index Dec 2016 = 100,2011M5,73.5
29,Total country,All Items,Index Dec 2016 = 100,2011M6,73.9
30,Total country,All Items,Index Dec 2016 = 100,2011M7,74.5
31,Total country,All Items,Index Dec 2016 = 100,2011M8,74.5
32,Total country,All Items,Index Dec 2016 = 100,2011M9,74.9
33,Total country,All Items,Index Dec 2016 = 100,2011M10,75.4
34,Total country,All Items,Index Dec 2016 = 100,2011M11,75.5
35,Total country,All Items,Index Dec 2016 = 100,2011M12,75.7
36,Total country,All Items,Index Dec 2016 = 100,2012M1,76.1
37,Total country,All Items,Index Dec 2016 = 100,2012M2,76.5
38,Total country,All Items,Index Dec 2016 = 100,2012M3,77.3
39,Total country,All Items,Index Dec 2016 = 100,2012M4,77.7
40,Total country,All Items,Index Dec 2016 = 100,2012M5,77.7
41,Total country,All Items,Index Dec 2016 = 100,2012M6,78.0
42,Total country,All Items,Index Dec 2016 = 100,2012M7,78.1
43,Total country,All Items,Index Dec 2016 = 100,2012M8,78.4
44,Total country,All Items,Index Dec 2016 = 100,2012M9,79.0
45,Total country,All Items,Index Dec 2016 = 100,2012M10,79.6
46,Total country,All Items,Index Dec 2016 = 100,2012M11,79.8
47,Total country,All Items,Index Dec 2016 = 100,2012M12,80.1
48,Total country,All Items,Index Dec 2016 = 100,2013M1,80.3
